id,location,code,captive,battery_level
a2cc51f1-1abf-4eac-b507-4f582abed675,"(39.752433333333336, -105.00308166666667)",,False,69
29ca5fa5-9cfc-448d-9653-d8edf57f7bc0,"(39.751290000000004, -105.00156333333334)",,False,49
cdffff1c-3021-4d0f-8ebd-1a9e3dc837ed,"(39.750530000000005, -105.00232)",,False,54
8dff3682-e0a6-42a0-af9c-f970e272b97c,"(39.753424, -105.00355)",,False,94
9bd1404b-a5bc-4d5f-a947-15e250916ee8,"(39.749855000000004, -105.00064166666668)",,False,54
c5a4aa63-fdeb-4d1e-9517-ca4945e95dc1,"(39.752735, -104.99976333333333)",,False,89
9a516135-c4a2-4121-b030-60c0bd99efe7,"(39.74992333333333, -104.99997666666668)",,False,85
875978e4-0f2d-4279-b8ac-5c9e77e691fc,"(39.75015333333333, -104.99974833333333)",,False,87
72bd979e-bd07-4d45-88ce-16247be0ecce,"(39.75446, -105.00303666666666)",,False,89
12f172bb-3d72-4c9e-ba1c-0f9f8b3aade6,"(39.751336, -104.999051)",,False,63
50cb30ed-5c3a-4bb2-bca3-86c58311cdee,"(39.754371666666664, -105.001495)",,False,54
faab6d95-803a-48f5-b909-6ad637b051dc,"(39.752025, -104.998795)",,False,59
b5278543-2db2-4202-aad2-d2b1ee5266ae,"(39.754365, -105.000825)",,False,42
a84cc0ac-2a37-49fd-afae-2645ee945b92,"(39.754055, -105.00011500000001)",,False,81
7c3995b1-4430-4dd8-9edd-7f33b3111ec7,"(39.75092666666667, -104.99868)",,False,65
776dc2d6-1210-48a6-a0f2-8fc6cf01ff58,"(39.751391, -104.998586)",,False,95
4dd20f67-fd44-4777-b544-1d62ae1d855c,"(39.750141666666664, -104.998855)",,False,47
75d6dd21-a1be-4004-95e0-6c42fc42ee33,"(39.753418333333336, -104.99914500000001)",,False,81
dd560d83-a334-496d-be77-2ce7fd28df15,"(39.75479166666666, -105.00501333333335)",,False,67
cbf48551-a28b-4cc0-b618-5b47c392795f,"(39.74832166666667, -105.000305)",,False,67
49dc876d-5f0f-408e-84d9-47bb338e05f1,"(39.74821166666666, -105.00051833333333)",,False,80
949cb55a-8100-4221-85ab-99d4fe8dcef5,"(39.75362333333333, -104.99841999999998)",,False,22
dc1e9c5b-aefb-493a-9f62-11c4dad58b76,"(39.75581249225862, -105.0011965447152)",,False,94
a9316361-bd1d-42ed-a108-29f3a47d669e,"(39.75524933702155, -104.9996281560497)",,False,80
8b6c326f-24f2-4575-b706-ef10cf89045e,"(39.750835, -104.997025)",,False,88
57e83e38-5be4-4f49-8386-b4ad2f1510df,"(39.74786, -104.999138)",,False,22
a3827aea-7663-436b-8127-e596e78f9f4d,"(39.75584833333333, -104.99997)",,False,45
414a58e4-7f3b-4feb-a112-d23eaf47fa8d,"(39.74664666666667, -105.00304333333334)",,False,64
0d1fa652-f2fe-45ff-9ec2-140d742ab168,"(39.749005000000004, -104.99748166666669)",,False,74
